Employee ID,Office Location,Department,Idea Submission Date,Idea Title,Idea Category,Number of Votes,Collaboration Status,Approval Status,Implementation Status,Security Concern Flag
333ebafa,Australia,Research,17/03/2023,Idea 171,Carbon Capture,75,Cross-Regional Team,Pending,Not Started,No
d6a32327,Mexico,Renewable Energy,14/05/2023,Idea 172,Carbon Capture,231,Cross-Regional Team,Rejected,Not Started,No
20d9bdc5,UK,Urban Development,28/04/2024,Idea 173,Circular Economy,367,Cross-Regional Team,Approved,Completed,No
07493acc,Australia,Technology,08/02/2024,Idea 174,Smart Cities,409,Single Contributor,Approved,Completed,No
0b34bc6b,Germany,Urban Development,26/06/2023,Idea 175,Carbon Capture,87,Single Contributor,Rejected,Not Started,No
9dd8c2a3,Brazil,Renewable Energy,11/11/2024,Idea 176,Renewable Energy,167,Cross-Regional Team,Approved,In Progress,No
8b6da313,South Africa,Renewable Energy,05/06/2024,Idea 177,Renewable Energy,315,Single Contributor,Pending,Not Started,No
73190c36,Brazil,Urban Development,31/07/2023,Idea 178,Smart Cities,206,Cross-Regional Team,Rejected,Not Started,No
a0c58108,Australia,Infrastructure,21/01/2024,Idea 179,Water Management,486,Cross-Regional Team,Rejected,Not Started,No
5dac15f5,Germany,Urban Development,06/09/2024,Idea 180,Sustainable Transport,138,Single Contributor,Rejected,Not Started,Yes
1ffeba7d,China,Renewable Energy,08/03/2023,Idea 181,Circular Economy,330,Cross-Regional Team,Rejected,Not Started,Yes
e33ea5d0,Mexico,Environmental Policy,06/02/2024,Idea 182,Water Management,456,Cross-Regional Team,Rejected,Not Started,No
83c9d876,Germany,Renewable Energy,05/03/2024,Idea 183,Water Management,381,Cross-Regional Team,Approved,Completed,No
df7d563d,Mexico,Infrastructure,28/04/2023,Idea 184,Circular Economy,273,Cross-Regional Team,Approved,Not Started,No
d95afbc7,Japan,Research,21/01/2024,Idea 185,Carbon Capture,367,Single Contributor,Rejected,Not Started,No
1baec3db,UK,Technology,24/05/2024,Idea 186,Smart Cities,82,Cross-Regional Team,Approved,Completed,No
7526d6c8,UK,Research,14/10/2023,Idea 187,Renewable Energy,79,Cross-Regional Team,Rejected,Not Started,No
ea904611,Germany,Research,30/12/2023,Idea 188,Water Management,419,Cross-Regional Team,Rejected,Not Started,No
abf8255f,India,Infrastructure,01/02/2024,Idea 189,Carbon Capture,243,Cross-Regional Team,Approved,In Progress,No
18547bea,Australia,Environmental Policy,31/03/2023,Idea 190,Carbon Capture,16,Single Contributor,Approved,Completed,No
8b7e0ccb,Australia,Infrastructure,07/06/2023,Idea 191,Water Management,418,Single Contributor,Pending,Not Started,No
9c7b6d9b,Mexico,Environmental Policy,10/01/2025,Idea 192,Water Management,328,Single Contributor,Approved,Not Started,No
82bde711,Australia,Research,13/09/2024,Idea 193,Water Management,407,Single Contributor,Pending,Not Started,Yes
7ab46583,USA,Research,09/07/2023,Idea 194,Sustainable Transport,401,Single Contributor,Pending,Not Started,No
9bd208e0,Brazil,Renewable Energy,17/04/2023,Idea 195,Sustainable Transport,126,Cross-Regional Team,Pending,Not Started,Yes
0f74e338,USA,Infrastructure,29/02/2024,Idea 196,Smart Cities,213,Single Contributor,Pending,Not Started,No
22b3b1db,South Africa,Technology,29/03/2023,Idea 197,Carbon Capture,273,Cross-Regional Team,Rejected,Not Started,No
0e2a7f0a,France,Infrastructure,20/01/2025,Idea 198,Smart Cities,301,Cross-Regional Team,Rejected,Not Started,No
faf39fcd,Germany,Renewable Energy,03/09/2023,Idea 199,Water Management,99,Cross-Regional Team,Rejected,Not Started,Yes
cfd37cf3,South Africa,Research,01/12/2023,Idea 200,Sustainable Transport,34,Cross-Regional Team,Approved,Completed,No
03921d7d,South Africa,Technology,12/03/2023,Idea 201,Carbon Capture,273,Cross-Regional Team,Approved,Not Started,No
08f5e3ca,USA,Research,05/09/2024,Idea 202,Renewable Energy,312,Single Contributor,Rejected,Not Started,No
cb48e85d,South Africa,Research,14/08/2024,Idea 203,Carbon Capture,346,Single Contributor,Approved,Not Started,No
a9886761,India,Research,12/02/2025,Idea 204,Sustainable Transport,241,Single Contributor,Pending,Not Started,No
8114e56e,Mexico,Renewable Energy,14/04/2024,Idea 205,Sustainable Transport,483,Cross-Regional Team,Approved,Not Started,No
a658fd9d,South Africa,Research,08/07/2024,Idea 206,Sustainable Transport,439,Single Contributor,Approved,Not Started,No
2f692c22,South Africa,Renewable Energy,25/12/2023,Idea 207,Water Management,182,Cross-Regional Team,Rejected,Not Started,No
563a872f,Mexico,Renewable Energy,16/08/2023,Idea 208,Sustainable Transport,487,Cross-Regional Team,Pending,Not Started,No
db56e875,India,Environmental Policy,25/12/2023,Idea 209,Renewable Energy,499,Cross-Regional Team,Rejected,Not Started,No
fa910ecd,South Africa,Environmental Policy,13/05/2023,Idea 210,Sustainable Transport,289,Single Contributor,Approved,In Progress,No
a39d8d6d,UK,Renewable Energy,08/09/2024,Idea 211,Water Management,419,Single Contributor,Pending,Not Started,No
6dd1dc2c,USA,Research,05/04/2023,Idea 212,Circular Economy,379,Cross-Regional Team,Approved,In Progress,No
9a1173d4,India,Research,06/11/2023,Idea 213,Renewable Energy,175,Cross-Regional Team,Rejected,Not Started,No
ae5948bf,Australia,Infrastructure,18/07/2024,Idea 214,Smart Cities,67,Cross-Regional Team,Approved,In Progress,No
257dde42,USA,Renewable Energy,30/04/2024,Idea 215,Water Management,54,Single Contributor,Approved,Completed,No
335b28c1,Brazil,Technology,01/02/2024,Idea 216,Sustainable Transport,494,Cross-Regional Team,Approved,Completed,No
dc39fe5f,USA,Technology,08/02/2025,Idea 217,Circular Economy,154,Cross-Regional Team,Rejected,Not Started,No
0614d740,Brazil,Renewable Energy,23/10/2023,Idea 218,Water Management,440,Cross-Regional Team,Pending,Not Started,No
39d4ed65,India,Renewable Energy,10/10/2024,Idea 219,Smart Cities,3,Single Contributor,Rejected,Not Started,No
f7a983e0,UK,Research,17/01/2024,Idea 220,Smart Cities,372,Cross-Regional Team,Pending,Not Started,No
7750f629,UK,Infrastructure,23/03/2024,Idea 221,Carbon Capture,277,Cross-Regional Team,Rejected,Not Started,No
79a16825,Germany,Technology,15/11/2023,Idea 222,Circular Economy,218,Single Contributor,Rejected,Not Started,Yes
6bc95bce,Canada,Technology,31/07/2023,Idea 223,Water Management,83,Single Contributor,Approved,Not Started,No
c6dc7748,Brazil,Technology,13/12/2023,Idea 224,Renewable Energy,217,Cross-Regional Team,Rejected,Not Started,No
2814e561,Germany,Renewable Energy,13/06/2024,Idea 225,Carbon Capture,406,Cross-Regional Team,Approved,In Progress,No
b18837de,Japan,Infrastructure,04/03/2025,Idea 226,Renewable Energy,234,Cross-Regional Team,Rejected,Not Started,No
a29e9579,China,Infrastructure,31/05/2023,Idea 227,Water Management,331,Single Contributor,Approved,Completed,No
8f5d2d75,South Africa,Urban Development,05/03/2025,Idea 228,Sustainable Transport,98,Single Contributor,Pending,Not Started,No
2ca842d9,China,Environmental Policy,05/07/2023,Idea 229,Sustainable Transport,79,Cross-Regional Team,Approved,Not Started,No
9ed5fc2f,Japan,Renewable Energy,06/10/2023,Idea 230,Smart Cities,434,Single Contributor,Pending,Not Started,No
70e2f5b9,Australia,Urban Development,22/03/2024,Idea 231,Renewable Energy,318,Cross-Regional Team,Approved,In Progress,No
4f1071ce,Canada,Research,03/11/2023,Idea 232,Renewable Energy,286,Cross-Regional Team,Pending,Not Started,No
2dd0b429,USA,Infrastructure,27/05/2023,Idea 233,Smart Cities,28,Cross-Regional Team,Rejected,Not Started,No
8f2977cd,France,Urban Development,31/05/2023,Idea 234,Sustainable Transport,284,Cross-Regional Team,Pending,Not Started,No
9204c900,USA,Research,13/01/2024,Idea 235,Sustainable Transport,245,Cross-Regional Team,Pending,Not Started,No
