Transaction ID,Customer ID,Book Title,Author,Genre,Purchase Method,Payment Method,Stock Before,Stock After,Loyalty Points,Promotion Applied,Discount Applied,Order Status,Restock Triggered
fea3e3a4,9f1b86,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,34,33,10,"Buy 3 Books, Get 1 Free",0,Completed,No
ac7c6241,2ecd3d,Atomic Habits,James Clear,Self-Help,Online,Card,14,11,30,None,0,Completed,No
bfb9dbde,852052,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,14,13,10,Earn 2x Reward Points,0,Completed,No
2ec34fec,47963c,Atomic Habits,James Clear,Self-Help,Online,Cash,5,2,30,"Buy 3 Books, Get 1 Free",0,Completed,Yes
55a5686a,743852,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,16,14,20,"Buy 3 Books, Get 1 Free",0,Completed,No
95185d2f,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Card,9,8,0,None,0,Completed,No
ab731059,a39c46,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,47,46,10,"Buy One, Get One Free",0,Completed,No
796e5824,a3b2a4,1984,George Orwell,Dystopian,Online,Cash,9,7,20,Flat 50% Discount,50,Completed,No
f2a18eef,5d57d0,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,9,8,10,"Buy One, Get One Free",0,Completed,No
a3425448,Guest,1984,George Orwell,Dystopian,In-Store,Online Payment,23,20,0,None,0,Completed,No
20e41e60,c42fdc,The Midnight Library,Matt Haig,Fantasy,Online,Card,8,6,20,Earn 2x Reward Points,0,Declined (Insufficient Funds),No
6610e42e,ce6c88,The Silent Patient,Alex Michaelides,Thriller,Online,Cash,13,10,30,Earn 2x Reward Points,0,Completed,No
c5f68003,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Cash,19,17,0,None,0,Completed,No
f4c17bf0,ab0682,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,22,21,10,"Buy One, Get One Free",0,Completed,No
26b5a668,33e2c8,Where the Crawdads Sing,Delia Owens,Fiction,Online,Card,38,36,20,None,0,Completed,No
c521f0fd,897844,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,8,7,10,None,0,Completed,No
bb123747,cfb7a4,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,14,11,30,Earn 2x Reward Points,0,Completed,No
d2094260,Guest,Where the Crawdads Sing,Delia Owens,Fiction,In-Store,Online Payment,43,40,0,None,0,Completed,No
53d7a469,Guest,Becoming,Michelle Obama,Biography,In-Store,Card,38,35,0,None,0,Completed,No
54cee083,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Cash,28,27,0,None,0,Completed,No
fc3762d8,2cf50e,The Midnight Library,Matt Haig,Fantasy,Online,Card,18,17,10,"Buy One, Get One Free",0,Completed,No
4a3e020d,31bfa7,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,38,36,20,Flat 50% Discount,50,Completed,No
289bbc2e,3e391a,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,16,14,20,None,0,Completed,No
93a9a05c,b3f86b,Dune,Frank Herbert,Sci-Fi,Online,Online Payment,44,42,20,"Buy 3 Books, Get 1 Free",0,Completed,No
29894c8c,938560,Dune,Frank Herbert,Sci-Fi,Online,Card,35,32,30,Earn 2x Reward Points,0,Completed,No
32bf1be5,969a81,1984,George Orwell,Dystopian,Online,Online Payment,34,31,30,Flat 50% Discount,50,Completed,No
a61252d1,215907,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,23,20,30,Earn 2x Reward Points,0,Completed,No
10c285d4,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Online Payment,43,41,0,None,0,Completed,No
f45b9e6f,Guest,Becoming,Michelle Obama,Biography,In-Store,Online Payment,22,19,0,None,0,Completed,No
128ab526,e3ac5b,The Silent Patient,Alex Michaelides,Thriller,Online,Card,11,10,10,Flat 50% Discount,50,Completed,No
4a66ebef,455884,Atomic Habits,James Clear,Self-Help,Online,Online Payment,28,27,10,None,0,Completed,No
23633696,7d6092,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,23,22,10,"Buy 3 Books, Get 1 Free",0,Completed,No
28031812,1e8bce,Educated,Tara Westover,Memoir,Online,Card,43,40,30,"Buy One, Get One Free",0,Completed,No
352b28e3,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Online Payment,39,38,0,None,0,Completed,No
4859fee1,95590f,Becoming,Michelle Obama,Biography,Online,Card,45,42,30,"Buy One, Get One Free",0,Completed,No
71932e4f,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Card,47,45,0,None,0,Completed,No
d39c8a04,9dbc56,Where the Crawdads Sing,Delia Owens,Fiction,Online,Card,42,39,30,Earn 2x Reward Points,0,Completed,No
764ab131,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Cash,46,44,0,None,0,Completed,No
f0fada6b,e6881c,Atomic Habits,James Clear,Self-Help,Online,Online Payment,30,29,10,Earn 2x Reward Points,0,Declined (Insufficient Funds),No
3f96446b,ca6990,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,21,19,20,"Buy One, Get One Free",0,Completed,No
cbe752ad,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Card,21,18,0,None,0,Completed,No
1f1f5389,f9a6e0,Dune,Frank Herbert,Sci-Fi,Online,Card,46,43,30,"Buy One, Get One Free",0,Completed,No
c249c706,e2e129,Becoming,Michelle Obama,Biography,Online,Cash,41,39,20,Flat 50% Discount,50,Completed,No
6c8d09a7,ca0a8d,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,9,6,30,Flat 50% Discount,50,Completed,No
fd21d91d,Guest,1984,George Orwell,Dystopian,In-Store,Card,9,7,0,None,0,Completed,No
e292a14b,8688fc,1984,George Orwell,Dystopian,Online,Card,41,40,10,None,0,Completed,No
4670a3e1,b183c9,The Silent Patient,Alex Michaelides,Thriller,Online,Cash,36,33,30,Earn 2x Reward Points,0,Completed,No
d29f223c,5c7921,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,38,37,10,Earn 2x Reward Points,0,Completed,No
3ef43594,240fbe,Becoming,Michelle Obama,Biography,Online,Card,44,41,30,"Buy 3 Books, Get 1 Free",0,Completed,No
3a1a8f02,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Cash,28,26,0,None,0,Completed,No
903f0293,d7d797,Becoming,Michelle Obama,Biography,Online,Card,47,44,30,Earn 2x Reward Points,0,Completed,No
e742f54b,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Online Payment,50,47,0,None,0,Completed,No
c3d7ee4f,cff0f8,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,50,49,10,Flat 50% Discount,50,Completed,No
51d6e70e,Guest,Atomic Habits,James Clear,Self-Help,In-Store,Card,14,12,0,None,0,Completed,No
9157a75c,d08321,Where the Crawdads Sing,Delia Owens,Fiction,Online,Cash,42,39,30,Flat 50% Discount,50,Completed,No
fcf929a0,796a94,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,22,20,20,"Buy 3 Books, Get 1 Free",0,Completed,No
2e8cdd8b,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Cash,6,5,0,None,0,Completed,No
721e5deb,c61b9c,Becoming,Michelle Obama,Biography,Online,Card,26,24,20,"Buy 3 Books, Get 1 Free",0,Completed,No
cf762484,Guest,1984,George Orwell,Dystopian,In-Store,Card,19,17,0,None,0,Completed,No
a76cc7c5,cdba80,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,43,42,10,"Buy 3 Books, Get 1 Free",0,Completed,No
bb90b41e,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Cash,39,38,0,None,0,Completed,No
de04f971,dc9780,Educated,Tara Westover,Memoir,Online,Cash,33,32,10,None,0,Completed,No
886a1db2,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Card,34,33,0,None,0,Declined (Insufficient Funds),No
eb209a0f,774489,Dune,Frank Herbert,Sci-Fi,Online,Online Payment,49,46,30,Flat 50% Discount,50,Completed,No
1a4b9bf1,f89699,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,35,34,10,"Buy One, Get One Free",0,Completed,No
9b34ae41,7898d3,The Midnight Library,Matt Haig,Fantasy,Online,Card,24,21,30,None,0,Completed,No
6472bda1,5accea,Becoming,Michelle Obama,Biography,Online,Online Payment,31,30,10,Earn 2x Reward Points,0,Completed,No
d49ce69e,6b9dcb,1984,George Orwell,Dystopian,Online,Card,19,17,20,"Buy 3 Books, Get 1 Free",0,Completed,No
8d5a6504,2c3d88,Dune,Frank Herbert,Sci-Fi,Online,Cash,21,19,20,Flat 50% Discount,50,Completed,No
94b5f078,0330a4,1984,George Orwell,Dystopian,Online,Card,33,32,10,None,0,Completed,No
ea856685,28f179,Where the Crawdads Sing,Delia Owens,Fiction,Online,Card,28,26,20,"Buy One, Get One Free",0,Completed,No
9381e09d,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Cash,30,29,0,None,0,Completed,No
8fd0b2b9,Guest,Atomic Habits,James Clear,Self-Help,In-Store,Card,8,6,0,None,0,Completed,No
6f7717c6,f9e873,1984,George Orwell,Dystopian,Online,Card,45,42,30,Flat 50% Discount,50,Completed,No
7ba7e886,bfa2ae,Dune,Frank Herbert,Sci-Fi,Online,Card,44,42,20,None,0,Completed,No
ffa9d186,668b1e,Educated,Tara Westover,Memoir,Online,Cash,5,3,20,None,0,Completed,Yes
473f4dcf,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Online Payment,35,32,0,None,0,Completed,No
7f141638,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Online Payment,38,36,0,None,0,Completed,No
cfba865d,c829d2,The Midnight Library,Matt Haig,Fantasy,Online,Online Payment,21,19,20,None,0,Completed,No
cefe3d63,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Online Payment,32,29,0,None,0,Completed,No
5b52fa58,4c4e1b,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,38,37,10,Earn 2x Reward Points,0,Completed,No
12b93db5,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Card,6,3,0,None,0,Completed,Yes
d2e2d293,7d17ee,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,46,45,10,"Buy 3 Books, Get 1 Free",0,Declined (Insufficient Funds),No
8e31a172,8d32a5,Educated,Tara Westover,Memoir,Online,Card,34,32,20,"Buy 3 Books, Get 1 Free",0,Completed,No
84bf059a,82e1e0,1984,George Orwell,Dystopian,Online,Cash,5,2,30,Flat 50% Discount,50,Completed,Yes
8ddce8e9,Guest,Educated,Tara Westover,Memoir,In-Store,Card,7,6,0,None,0,Completed,No
916524ad,Guest,Becoming,Michelle Obama,Biography,In-Store,Online Payment,26,24,0,None,0,Completed,No
5c74ef3f,d764ed,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,15,13,20,Earn 2x Reward Points,0,Completed,No
ee6cc231,18aae7,The Silent Patient,Alex Michaelides,Thriller,Online,Cash,44,41,30,Earn 2x Reward Points,0,Completed,No
6ec24145,e7b5db,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,15,14,10,Earn 2x Reward Points,0,Completed,No
e122bde8,6b9a0f,The Midnight Library,Matt Haig,Fantasy,Online,Card,9,7,20,"Buy One, Get One Free",0,Completed,No
32dff708,Guest,Where the Crawdads Sing,Delia Owens,Fiction,In-Store,Cash,10,9,0,None,0,Completed,No
8e8bd596,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Online Payment,34,33,0,None,0,Completed,No
38fb8a79,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Online Payment,5,3,0,None,0,Declined (Insufficient Funds),Yes
ea7b76ec,bfd24f,1984,George Orwell,Dystopian,Online,Online Payment,15,14,10,"Buy 3 Books, Get 1 Free",0,Completed,No
a87b9cc3,a618d7,Becoming,Michelle Obama,Biography,Online,Online Payment,39,36,30,"Buy One, Get One Free",0,Completed,No
bcf4f3ca,Guest,Atomic Habits,James Clear,Self-Help,In-Store,Online Payment,25,24,0,None,0,Completed,No
7f666eee,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Card,40,39,0,None,0,Completed,No
9fe5091b,Guest,Becoming,Michelle Obama,Biography,In-Store,Cash,34,31,0,None,0,Completed,No
19d96161,21b5d8,The Midnight Library,Matt Haig,Fantasy,Online,Online Payment,8,7,10,Earn 2x Reward Points,0,Completed,No
237093dc,c0bc93,Where the Crawdads Sing,Delia Owens,Fiction,Online,Card,41,38,30,Flat 50% Discount,50,Completed,No
c9a00a3f,Guest,Becoming,Michelle Obama,Biography,In-Store,Card,31,30,0,None,0,Completed,No
0d79fdef,2da46f,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,22,20,20,None,0,Completed,No
20413390,8cce0a,Educated,Tara Westover,Memoir,Online,Cash,34,32,20,"Buy 3 Books, Get 1 Free",0,Completed,No
2910397e,44156,Becoming,Michelle Obama,Biography,Online,Cash,29,27,20,Flat 50% Discount,50,Completed,No
48c8b723,e6caed,Becoming,Michelle Obama,Biography,Online,Card,43,41,20,Flat 50% Discount,50,Completed,No
2537d785,c63a27,The Silent Patient,Alex Michaelides,Thriller,Online,Cash,10,8,20,"Buy One, Get One Free",0,Declined (Insufficient Funds),No
37afd607,7c2ece,Atomic Habits,James Clear,Self-Help,Online,Card,47,46,10,Flat 50% Discount,50,Completed,No
63b81995,351bc9,The Catcher in the Rye,J.D. Salinger,Classic,Online,Card,26,25,10,"Buy 3 Books, Get 1 Free",0,Completed,No
275dccd6,6c3076,Dune,Frank Herbert,Sci-Fi,Online,Online Payment,11,10,10,"Buy 3 Books, Get 1 Free",0,Completed,No
f9c003fa,5111de,Atomic Habits,James Clear,Self-Help,Online,Card,21,20,10,"Buy One, Get One Free",0,Completed,No
f681ce87,Guest,Where the Crawdads Sing,Delia Owens,Fiction,In-Store,Cash,16,14,0,None,0,Completed,No
df96cc79,40759d,The Midnight Library,Matt Haig,Fantasy,Online,Cash,37,35,20,Earn 2x Reward Points,0,Completed,No
265dc780,bd15f3,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,8,7,10,"Buy One, Get One Free",0,Completed,No
169d3209,6b9c51,Educated,Tara Westover,Memoir,Online,Cash,16,14,20,Earn 2x Reward Points,0,Completed,No
e812b42f,ad38d5,Educated,Tara Westover,Memoir,Online,Card,42,39,30,Flat 50% Discount,50,Completed,No
07b32abb,Guest,Atomic Habits,James Clear,Self-Help,In-Store,Online Payment,21,20,0,None,0,Completed,No
bfb69d2e,7c65c3,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,29,28,10,Earn 2x Reward Points,0,Completed,No
680654f6,Guest,Where the Crawdads Sing,Delia Owens,Fiction,In-Store,Card,22,21,0,None,0,Completed,No
8851d1bf,9beab1,The Midnight Library,Matt Haig,Fantasy,Online,Online Payment,28,25,30,None,0,Completed,No
6d3c8d41,a2c051,The Midnight Library,Matt Haig,Fantasy,Online,Online Payment,24,21,30,"Buy One, Get One Free",0,Completed,No
cd1545c2,41470e,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,20,17,30,"Buy 3 Books, Get 1 Free",0,Declined (Insufficient Funds),No
af587414,Guest,Becoming,Michelle Obama,Biography,In-Store,Cash,47,44,0,None,0,Completed,No
54f90bf0,48a8bf,Becoming,Michelle Obama,Biography,Online,Online Payment,20,19,10,Flat 50% Discount,50,Completed,No
54525b06,Guest,Becoming,Michelle Obama,Biography,In-Store,Card,21,18,0,None,0,Completed,No
f539b7e9,Guest,Becoming,Michelle Obama,Biography,In-Store,Cash,20,17,0,None,0,Completed,No
d2b5fba5,300b71,Atomic Habits,James Clear,Self-Help,Online,Cash,48,47,10,"Buy 3 Books, Get 1 Free",0,Completed,No
4c801539,008a0a,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,31,28,30,None,0,Completed,No
9115d798,e938cb,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,30,28,20,"Buy One, Get One Free",0,Declined (Insufficient Funds),No
8eb25748,f349ba,The Midnight Library,Matt Haig,Fantasy,Online,Card,26,23,30,Earn 2x Reward Points,0,Completed,No
047e2cc1,a4ed71,1984,George Orwell,Dystopian,Online,Cash,24,23,10,"Buy 3 Books, Get 1 Free",0,Completed,No
0ff1c945,ff1284,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,28,27,10,"Buy 3 Books, Get 1 Free",0,Completed,No
1c70e033,8b7b1a,The Silent Patient,Alex Michaelides,Thriller,Online,Card,50,48,20,Earn 2x Reward Points,0,Completed,No
988adc75,Guest,Atomic Habits,James Clear,Self-Help,In-Store,Online Payment,48,47,0,None,0,Completed,No
8deacf50,1a7a0a,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,38,35,30,"Buy 3 Books, Get 1 Free",0,Completed,No
8dee10e3,Guest,Where the Crawdads Sing,Delia Owens,Fiction,In-Store,Online Payment,43,41,0,None,0,Completed,No
5842bcfd,86ab09,The Midnight Library,Matt Haig,Fantasy,Online,Card,37,36,10,Earn 2x Reward Points,0,Completed,No
94afb095,140a75,1984,George Orwell,Dystopian,Online,Cash,12,9,30,Earn 2x Reward Points,0,Completed,No
72540350,4e2c0c,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,40,37,30,"Buy One, Get One Free",0,Completed,No
6fd638eb,d2a928,Atomic Habits,James Clear,Self-Help,Online,Cash,8,6,20,"Buy One, Get One Free",0,Completed,No
5a235efd,61bc4f,The Midnight Library,Matt Haig,Fantasy,Online,Cash,19,16,30,None,0,Completed,No
569c33f6,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Cash,21,20,0,None,0,Completed,No
d2598b38,fde62a,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,39,38,10,"Buy 3 Books, Get 1 Free",0,Completed,No
4f02455c,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Card,31,30,0,None,0,Completed,No
b8af1d57,6f078d,The Midnight Library,Matt Haig,Fantasy,Online,Card,43,42,10,"Buy 3 Books, Get 1 Free",0,Completed,No
5196c02a,aa164b,Educated,Tara Westover,Memoir,Online,Cash,46,44,20,"Buy 3 Books, Get 1 Free",0,Completed,No
f5dcd320,ea440a,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,29,27,20,"Buy One, Get One Free",0,Completed,No
6de32ae1,050b55,Dune,Frank Herbert,Sci-Fi,Online,Card,45,42,30,None,0,Completed,No
63d15499,79c53f,Atomic Habits,James Clear,Self-Help,Online,Card,10,9,10,Earn 2x Reward Points,0,Completed,No
16372c78,e0fbdd,The Midnight Library,Matt Haig,Fantasy,Online,Cash,8,7,10,Flat 50% Discount,50,Completed,No
5063d762,a36649,1984,George Orwell,Dystopian,Online,Cash,20,18,20,"Buy 3 Books, Get 1 Free",0,Completed,No
0a7bcf10,f913f5,Educated,Tara Westover,Memoir,Online,Card,33,30,30,"Buy 3 Books, Get 1 Free",0,Completed,No
c8d0dfc2,2e87d5,Dune,Frank Herbert,Sci-Fi,Online,Card,22,20,20,Earn 2x Reward Points,0,Completed,No
4c6be895,Guest,Educated,Tara Westover,Memoir,In-Store,Online Payment,42,39,0,None,0,Completed,No
44ca2a12,b962c7,Educated,Tara Westover,Memoir,Online,Cash,34,32,20,None,0,Completed,No
1bbbda0f,620e0b,1984,George Orwell,Dystopian,Online,Card,30,29,10,"Buy 3 Books, Get 1 Free",0,Completed,No
aed5dfd1,873c54,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,15,12,30,Flat 50% Discount,50,Completed,No
0ca38019,43b424,The Catcher in the Rye,J.D. Salinger,Classic,Online,Card,29,27,20,"Buy 3 Books, Get 1 Free",0,Completed,No
5094799c,2591d2,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,8,7,10,Earn 2x Reward Points,0,Completed,No
b4105e57,1251ec,The Midnight Library,Matt Haig,Fantasy,Online,Online Payment,50,48,20,"Buy 3 Books, Get 1 Free",0,Completed,No
c6a3cb45,430a05,Becoming,Michelle Obama,Biography,Online,Card,10,8,20,Earn 2x Reward Points,0,Completed,No
e1c11e38,d13cd3,The Midnight Library,Matt Haig,Fantasy,Online,Card,40,39,10,None,0,Completed,No
7c8ebe3a,eec5e4,Educated,Tara Westover,Memoir,Online,Online Payment,31,28,30,None,0,Completed,No
7ea8a589,dde21a,Becoming,Michelle Obama,Biography,Online,Card,31,29,20,"Buy One, Get One Free",0,Completed,No
57ee20ce,713131,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,20,17,30,"Buy 3 Books, Get 1 Free",0,Completed,No
680f0cf5,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Card,30,28,0,None,0,Completed,No
8bc9776c,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Online Payment,12,10,0,None,0,Completed,No
01c50a79,e9783a,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,8,7,10,Earn 2x Reward Points,0,Completed,No
e89088ff,db85a9,Becoming,Michelle Obama,Biography,Online,Online Payment,10,9,10,Earn 2x Reward Points,0,Completed,No
c57d2b6f,2cfddf,Atomic Habits,James Clear,Self-Help,Online,Cash,46,45,10,"Buy 3 Books, Get 1 Free",0,Completed,No
2c203843,57fb9c,The Midnight Library,Matt Haig,Fantasy,Online,Online Payment,34,32,20,Earn 2x Reward Points,0,Completed,No
6934514,240244,Dune,Frank Herbert,Sci-Fi,Online,Cash,5,3,20,None,0,Completed,Yes
612c9f2f,b52ce3,1984,George Orwell,Dystopian,Online,Online Payment,17,15,20,None,0,Completed,No
9f503a5a,fc2a73,Dune,Frank Herbert,Sci-Fi,Online,Cash,42,40,20,"Buy One, Get One Free",0,Completed,No
34a1f528,f2ef95,Where the Crawdads Sing,Delia Owens,Fiction,Online,Card,23,20,30,"Buy One, Get One Free",0,Completed,No
8ec04293,caeb08,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,26,23,30,"Buy One, Get One Free",0,Completed,No
05acc4d4,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Card,8,7,0,None,0,Completed,No
e62e483f,a19e07,1984,George Orwell,Dystopian,Online,Online Payment,7,6,10,"Buy One, Get One Free",0,Completed,No
4f9fd607,780ba4,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,40,39,10,"Buy 3 Books, Get 1 Free",0,Completed,No
cf9044de,Guest,Atomic Habits,James Clear,Self-Help,In-Store,Online Payment,11,10,0,None,0,Completed,No
8dbf0a9f,e0692d,The Silent Patient,Alex Michaelides,Thriller,Online,Card,36,35,10,Flat 50% Discount,50,Completed,No
c74ae98a,Guest,1984,George Orwell,Dystopian,In-Store,Cash,35,34,0,None,0,Completed,No
6a1f11ac,d76fc0,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,25,23,20,"Buy 3 Books, Get 1 Free",0,Completed,No
0fc35d7b,146fdb,Dune,Frank Herbert,Sci-Fi,Online,Cash,48,45,30,Earn 2x Reward Points,0,Completed,No
321aab8a,d8d092,The Catcher in the Rye,J.D. Salinger,Classic,Online,Card,24,23,10,"Buy One, Get One Free",0,Declined (Insufficient Funds),No
88d63741,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Online Payment,14,11,0,None,0,Completed,No
b567c0df,5d3df8,Where the Crawdads Sing,Delia Owens,Fiction,Online,Cash,12,9,30,Flat 50% Discount,50,Completed,No
268443ad,420e2f,Dune,Frank Herbert,Sci-Fi,Online,Cash,22,21,10,None,0,Completed,No
6f7be0b3,a55dd5,The Silent Patient,Alex Michaelides,Thriller,Online,Cash,12,11,10,None,0,Completed,No
be453e45,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Cash,49,48,0,None,0,Completed,No
2c8d9e0e,d41f07,1984,George Orwell,Dystopian,Online,Card,20,17,30,None,0,Completed,No
e24b256b,0b7e26,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,43,42,10,None,0,Completed,No
76e58f5f,4744b7,The Midnight Library,Matt Haig,Fantasy,Online,Cash,49,46,30,"Buy 3 Books, Get 1 Free",0,Completed,No
12aa3d64,Guest,1984,George Orwell,Dystopian,In-Store,Cash,24,23,0,None,0,Completed,No
68b24eba,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Cash,14,13,0,None,0,Completed,No
21755f71,e61e3c,The Silent Patient,Alex Michaelides,Thriller,Online,Card,26,23,30,"Buy One, Get One Free",0,Completed,No
bc800d00,42ad41,Where the Crawdads Sing,Delia Owens,Fiction,Online,Cash,21,18,30,"Buy 3 Books, Get 1 Free",0,Completed,No
35f15e61,27834d,Where the Crawdads Sing,Delia Owens,Fiction,Online,Cash,27,24,30,Flat 50% Discount,50,Completed,No
64dc2215,1d3ea0,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,12,11,10,None,0,Completed,No
08662eab,654bde,Dune,Frank Herbert,Sci-Fi,Online,Card,20,17,30,Flat 50% Discount,50,Completed,No
a5fba0ea,Guest,Becoming,Michelle Obama,Biography,In-Store,Online Payment,24,23,0,None,0,Completed,No
054cee4b,61ab17,Where the Crawdads Sing,Delia Owens,Fiction,Online,Cash,24,21,30,None,0,Completed,No
3c84355f,79e397,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,10,8,20,Earn 2x Reward Points,0,Completed,No
c73cb33a,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Cash,19,18,0,None,0,Completed,No
